"","county_fips","state","county_name","self_employed","divorce_marriage","living_alone","living_alone_65over","living_grandchildren","carpool_drive_alone","libertarian_vote16","religious_adherents","prev_score"
"1430",28053,"Mississippi","Humphreys",0.092074592,0.388050694,0.291206954,0.110665329,0.064974182,0.279712548,0.002821538,0.382915864,NA
"1431",28055,"Mississippi","Issaquena",0.005524862,0.716101695,0.665816327,0.323979592,0.033586132,0.291044776,0.005722461,0.157698057,NA
"1432",28057,"Mississippi","Itawamba",0.08094668,0.296,0.240753119,0.129679144,0.02251911,0.091513962,0.008626887,0.466831496,1.85140877839007
"1433",28059,"Mississippi","Jackson",0.081915911,0.263132848,0.288498004,0.125277662,0.049997772,0.102235076,0.018177416,0.483427806,3.00490357452199
"1434",28061,"Mississippi","Jasper",0.082942097,0.318681319,0.313634248,0.124243834,0.05463528,0.051658604,0.003303835,0.466487444,NA
"1435",28063,"Mississippi","Jefferson",0.089856415,0.307091011,0.277865613,0.122134387,0.085981715,0.057553957,0.003367876,0.369559229,NA
"1436",28065,"Mississippi","Jefferson Davis",0.061106155,0.271396112,0.323826634,0.15180777,0.06503956,0.061784897,0.003367003,0.512233902,NA
"1437",28067,"Mississippi","Jones",0.102409424,0.206582259,0.264441064,0.128232537,0.034873605,0.120565564,0.009452596,0.750394075,3.33893749127183
"1438",28069,"Mississippi","Kemper",0.033769395,0.287079763,0.289850461,0.153356666,0.032252153,0.108584006,0.003880147,0.386404094,NA
"1439",28071,"Mississippi","Lafayette",0.097266345,0.261671792,0.305956582,0.104855096,0.023991352,0.092056605,0.029374332,0.394209234,-1.04024854504769
"1440",28073,"Mississippi","Lamar",0.102461743,0.167672021,0.21971401,0.069368573,0.035226806,0.124643236,0.018379961,0.451979073,1.10902098549649
"1441",28075,"Mississippi","Lauderdale",0.070516571,0.293506392,0.311051536,0.133373311,0.046064571,0.12522436,0.010404663,0.758248383,3.18781626481713
"1442",28077,"Mississippi","Lawrence",0.083128382,0.19669967,0.302928683,0.131678963,0.056535686,0.071309656,0.006285355,0.598119174,NA
"1443",28079,"Mississippi","Leake",0.083043694,0.299540494,0.281042204,0.146967024,0.047445809,0.098698968,0.004734288,0.608225617,4.59222979108653
"1444",28081,"Mississippi","Lee",0.099885756,0.233964587,0.268866598,0.093059592,0.033518322,0.071318106,0.012301804,0.58086462,2.08453034328053
"1445",28083,"Mississippi","Leflore",0.091755577,0.367081851,0.376035626,0.168703397,0.045862607,0.124453143,0.007001795,0.606443417,3.01775957958552
"1446",28085,"Mississippi","Lincoln",0.103071772,0.179973595,0.284927314,0.107727621,0.067338064,0.066677892,0.005857961,0.684361303,4.33848937550461
"1447",28087,"Mississippi","Lowndes",0.079657531,0.273668417,0.33517284,0.155357379,0.030860295,0.06899953,0.011534702,0.842439579,3.22404508601134
"1448",28089,"Mississippi","Madison",0.10417633,0.177050699,0.280166896,0.095822863,0.024765569,0.103201875,0.016906952,0.616803335,-0.0562472224417639
"1449",28091,"Mississippi","Marion",0.117444061,0.228619154,0.341902878,0.150406504,0.029181213,0.113724963,0.009150774,0.776154822,NA
"1450",28093,"Mississippi","Marshall",0.08186929,0.219320527,0.257404079,0.118152692,0.07236657,0.092650962,0.006402049,0.585950462,4.548206686396
"1451",28095,"Mississippi","Monroe",0.076572939,0.221667029,0.282028337,0.133258762,0.046035334,0.074020195,0.006925208,0.530631949,3.79625752702524
"1452",28097,"Mississippi","Montgomery",0.085535664,0.441122185,0.348041775,0.210182768,0.02953856,0.173171656,0.006405124,0.819894115,NA
"1453",28099,"Mississippi","Neshoba",0.091338297,0.305402087,0.283851358,0.107461516,0.048821752,0.15747752,0.007865062,0.583490907,4.76873206342781
"1454",28101,"Mississippi","Newton",0.08813439,0.234678988,0.319621074,0.159486115,0.055398758,0.114885819,0.007098962,0.529707388,NA
"1455",28103,"Mississippi","Noxubee",0.054165592,0.270592021,0.276785714,0.146645022,0.099720257,0.077617329,0.002152853,0.455614973,NA
"1456",28105,"Mississippi","Oktibbeha",0.064966818,0.136883579,0.294731869,0.076021734,0.035927063,0.084856983,0.025601412,0.484378621,-2.29657027416298
