county_fips,candidatevotes,totalvotes
16087,4154,5344
17001,24220,33527
17003,1486,2618
17005,5625,8145
17007,13883,24979
17009,1931,2521
17011,10411,17434
17013,2046,2772
17015,5105,8024
17017,3625,5317
17019,35285,95142
17021,11563,16204
17023,6226,8356
17025,5629,6886
17027,14304,19170
17029,14037,22606
17031,558269,2321486
17033,7043,9425
17035,4601,5832
17037,21905,47825
17039,5632,8024
17041,6227,8738
17043,193611,485104
17045,6193,8196
17047,2833,3366
17049,15006,19049
17051,8055,10056
17053,5048,6953
17055,13622,18626
17057,9867,16678
17059,2019,2674
17061,4770,6227
17063,16523,26691
17065,3432,4315
17067,6906,9383
17069,1691,2162
17071,2394,3647
17073,15300,25635
17075,10877,14025
17077,10890,22643
17079,4494,5576
17081,12476,17404
17083,8712,11937
17085,7166,12496
17087,5059,6437
17089,96775,231876
17091,28532,49902
17093,29492,63974
17095,12009,23143
17097,123594,334177
17099,30113,53591
17101,4886,6411
17103,9630,16397
17105,12208,17174
17107,9136,13294
17109,7027,12285
17111,82260,163879
17113,40502,87002
17115,28589,49390
17117,16153,24022
17119,76031,137139
17121,12678,17458
17123,4197,6334
17125,4654,6766
17127,4997,6813
17129,4764,6928
17131,5418,8893
17133,14142,21148
17135,9544,13727
17137,9950,15309
17139,4964,6744
17141,16248,26272
17143,38252,83973
17145,7313,10053
17147,6248,9822
17149,6332,7949
17151,1722,2175
17153,1699,2624
17155,1993,3390
17157,11076,14891
17159,6089,8063
17161,28603,66758
17163,57150,128091
17165,8103,11066
17167,53485,104752
17169,2773,3906
17171,2114,2737
17173,9426,12097
17175,2004,2883
17177,12521,22048
17179,42513,69052
17181,6161,8886
17183,20725,31584
17185,4237,5593
17187,4676,7909
17189,6115,7902
17191,7176,8486
17193,5791,7421
17195,14527,27375
17197,155116,345105
17199,22801,33653
17201,60861,127709
17203,14799,21432
18001,10686,14209
18003,92083,169082
18005,22410,36235
18007,3007,4114
18009,3841,5351
18011,22351,38520
18013,5777,8981
18015,7086,9495
18017,10552,15198
18019,33668,57869
18021,9499,12267
18023,9334,12949
18025,3483,4944
18027,9576,11954
18029,19528,25383
18031,9575,12287
18033,14237,19628
18035,26827,48191
18037,15033,21770
18039,46972,74387
18041,7755,10136
18043,23400,41802
18045,6154,7986
18047,9691,12000
18049,6694,9147
18051,11817,16161
18053,18543,27159
18055,11103,14784
18057,101587,193999
18059,28996,42911
18061,14565,20236
18063,53802,88505
18065,15043,21030
18067,26449,40630
18069,13147,17829
18071,14555,19238
18073,11383,15475
18075,6361,8461
18077,9663,14697
18079,9490,12251
18081,51219,77618
18083,11655,16011
18085,26499,35787
18087,8110,10633
18089,91760,219956
18091,25997,49392
18093,15601,21025
18095,31215,51793
18097,134175,389619
18099,13844,19927
18101,4029,5144
18103,10925,14473
18105,22071,63151
18107,12659,17198
18109,27512,36159
18111,4942,6591
18113,14195,19190
18115,2054,3075
18117,6432,8832
18119,7286,9904
18121,5400,7013
18123,5345,8722
18125,4692,6220
18127,45008,86509
18129,9206,13236
18131,4246,5806
18133,12278,16597
18135,8312,11070
18137,11261,14271
18139,6035,7932
18141,53164,115238
18143,7331,10167
18145,14568,19991
18147,7357,10769
18149,7466,10290
18151,11327,16162
18153,6691,8994
18155,3133,4154
18157,34581,71448
18159,6110,8116
18161,2688,3483
18163,41844,77662
18165,5184,7481
18167,24545,43594
18169,10762,14576
18171,3401,4472
18173,21326,33829
18175,9114,12139
18177,17567,27679
18179,10855,14050
18181,7957,11166
18183,12862,17556
19001,1205,4177
19001,1717,4177
19003,781,2160
19003,754,2160
19005,2699,7422
19005,2045,7422
19007,1830,6516
19007,2692,6516
19009,1197,3420
19009,1102,3420
19011,3127,14642
19011,6081,14642
19013,13892,66593
19013,15921,66593
19015,4364,15340
19015,4365,15340
19017,3749,14546
19017,4575,14546
19019,2517,10774
19019,3913,10774
19021,2536,8167
19021,2538,8167
19023,2441,8098
19023,3115,8098
19025,1460,5258
19025,2238,5258
19027,3671,11335
19027,4095,11335
19029,2569,7276
19029,2410,7276
19031,2738,10703
19031,3446,10703
19033,5714,23801
19033,6785,23801
19035,2444,6518
19035,2066,6518
19037,2398,6631
19037,1924,6631
19039,1416,4670
19039,1737,4670
19041,3417,8969
19041,2741,8969
19043,2271,9594
19043,3848,9594
19045,6942,24687
19045,6468,24687
19047,2483,7154
19047,2379,7154
19049,13790,56022
19049,14372,56022
19051,1373,4102
19051,1662,4102
19053,893,3804
19053,1725,3804
19055,2613,10003
19055,4075,10003
19057,5506,19956
19057,5136,19956
19059,4773,11244
19059,2679,11244
19061,13152,53926
19061,14206,53926
19063,1445,4853
19063,1823,4853
