county_fips,candidatevotes,totalvotes
13147,2,12727
13149,677,5391
13149,2197,5391
13149,1641,5391
13149,1,5391
13151,8134,122742
13151,31879,122742
13151,8143,122742
13151,31,122742
13153,8163,74823
13153,21677,74823
13153,11644,74823
13153,50,74823
13155,369,4168
13155,2106,4168
13155,655,4168
13155,4,4168
13157,4395,37670
13157,20135,37670
13157,4961,37670
13157,6,37670
13159,808,7644
13159,3455,7644
13159,1547,7644
13159,12,7644
13161,528,5771
13161,2749,5771
13161,1418,5771
13161,0,5771
13163,446,7642
13163,1992,7642
13163,1096,7642
13163,3,7642
13165,335,3455
13165,1244,3455
13165,579,3455
13165,3,3455
13167,331,4100
13167,1748,4100
13167,771,4100
13167,0,4100
13169,1272,14966
13169,5666,14966
13169,3023,14966
13169,4,14966
13171,807,9039
13171,3772,9039
13171,1743,9039
13171,8,9039
13173,250,3576
13173,1778,3576
13173,481,3576
13173,0,3576
13175,2351,22729
13175,6479,22729
13175,5660,22729
13175,3,22729
13177,1221,16714
13177,7728,16714
13177,3054,16714
13177,4,16714
13179,1311,21389
13179,4941,21389
13179,1704,21389
13179,3,21389
13181,442,4650
13181,1832,4650
13181,904,4650
13181,1,4650
13183,290,5656
13183,2102,5656
13183,1126,5656
13183,10,5656
13185,3379,46355
13185,16795,46355
13185,5351,46355
13185,166,46355
13187,2022,15531
13187,8138,15531
13187,2002,15531
13187,1,15531
13189,898,10455
13189,4445,10455
13189,826,10455
13189,0,10455
13191,834,6696
13191,2371,6696
13191,810,6696
13191,1,6696
13193,139,4662
13193,1296,4662
13193,348,4662
13193,0,4662
13195,1718,14937
13195,6103,14937
13195,3502,14937
13195,3,14937
13197,295,3624
13197,1221,3624
13197,759,3624
13197,0,3624
13199,980,10877
13199,3312,10877
13199,2230,10877
13199,2,10877
13201,264,2835
13201,1269,2835
13201,530,2835
13201,3,2835
13205,681,8963
13205,2701,8963
13205,1551,8963
13205,2,8963
13207,1062,15592
13207,6890,15592
13207,3102,15592
13207,6,15592
13209,356,3966
13209,1495,3966
13209,1109,3966
13209,0,3966
13211,938,11707
13211,5424,11707
13211,1865,11707
13211,3,11707
13213,1361,15389
13213,7689,15389
13213,3893,15389
13213,0,15389
13215,6399,80543
13215,17106,80543
13215,6527,80543
13215,17,80543
13217,4860,54239
13217,8103,54239
13217,10888,54239
13217,18,54239
13219,2696,25168
13219,11216,25168
13219,2680,25168
13219,3,25168
13221,946,8131
13221,3584,8131
13221,1061,8131
13221,2,8131
13223,9582,85385
13223,35174,85385
13223,9710,85385
13223,59,85385
13225,810,12545
13225,4728,12545
13225,954,12545
13225,10,12545
13227,1786,17116
13227,6287,17116
13227,5994,17116
13227,8,17116
13229,923,9048
13229,5768,9048
13229,1208,9048
13229,0,9048
13231,919,10720
13231,5864,10720
13231,2341,10720
13231,3,10720
13233,1707,17399
13233,9021,17399
13233,2849,17399
13233,12,17399
13235,313,4059
13235,2155,4059
13235,336,4059
13235,1,4059
13237,1760,11855
13237,4983,11855
13237,1547,11855
13237,1,11855
13239,88,1106
13239,353,1106
13239,163,1106
13239,0,1106
13241,1663,9568
13241,4604,9568
13241,1207,9568
13241,0,9568
13243,214,3074
13243,856,3074
13243,321,3074
13243,0,3074
13245,6233,87016
13245,11931,87016
13245,8584,87016
13245,33,87016
13247,3005,44686
13247,7466,44686
13247,2526,44686
13247,15,44686
13249,154,2275
13249,1341,2275
13249,304,2275
13249,1,2275
13251,505,6628
13251,2140,6628
13251,1260,6628
13251,11,6628
13253,277,3884
13253,1390,3884
13253,944,3884
13253,0,3884
13255,3490,30116
13255,8801,30116
13255,5234,30116
13255,532,30116
13257,1365,11885
13257,6765,11885
13257,1234,11885
13257,4,11885
13259,105,1990
13259,462,1990
13259,229,1990
13259,5,1990
13261,837,12150
13261,3358,12150
13261,1524,12150
13261,13,12150
13263,241,3522
13263,686,3522
13263,464,3522
13263,1,3522
13265,64,928
13265,200,928
13265,96,928
13265,0,928
13267,818,8183
13267,3699,8183
13267,1536,8183
13267,0,8183
13269,292,3839
13269,1764,3839
13269,349,3839
13269,13,3839
13271,358,4333
13271,1506,4333
13271,958,4333
13271,3,4333
13273,270,4416
13273,1069,4416
13273,665,4416
13273,0,4416
13275,1670,21853
13275,8565,21853
13275,2718,21853
13275,1,21853
13277,1221,16283
13277,6833,16283
13277,2721,16283
13277,9,16283
13279,1217,10914
13279,4852,10914
13279,1797,10914
13279,6,10914
13281,1227,7979
13281,4165,7979
13281,984,7979
13281,8,7979
13283,274,3077
13283,1409,3077
13283,418,3077
13283,0,3077
13285,2905,30049
13285,10519,30049
13285,4673,30049
13285,46,30049
13287,233,3792
13287,1738,3792
13287,377,3792
13287,1,3792
13289,310,4444
13289,1219,4444
13289,841,4444
13289,0,4444
13291,2232,15560
13291,7008,15560
13291,3400,15560
13291,11,15560
13293,1175,12905
13293,6063,12905
13293,1364,12905
13293,6,12905
13295,3517,29354
13295,14089,29354
13295,5560,29354
13295,8,29354
13297,6031,51095
13297,22594,51095
13297,9202,51095
13297,15,51095
13299,1368,14192
13299,5900,14192
13299,2577,14192
13299,20,14192
13301,205,2651
13301,771,2651
13301,190,2651
13301,0,2651
13303,719,9459
13303,2458,9459
13303,1481,9459
13303,5,9459
13305,1354,12778
13305,6131,12778
13305,2495,12778
13305,7,12778
13307,121,1390
13307,488,1390
13307,139,1390
13307,0,1390
13309,202,2285
13309,943,2285
13309,438,2285
13309,0,2285
13311,2088,14816
13311,6680,14816
13311,3448,14816
13311,6,14816
13313,3544,36746
13313,13084,36746
13313,8963,36746
13313,45,36746
13315,343,3281
13315,1317,3281
13315,743,3281
13315,0,3281
13317,467,5029
13317,1649,5029
13317,704,5029
13317,3,5029
13319,259,4770
13319,1109,4770
13319,1293,4770
13319,3,4770
13321,766,9285
13321,3285,9285
13321,2779,9285
13321,0,9285
15001,26897,87814
15003,136250,382102
15007,11582,33497
15009,22126,71044
16001,130699,259389
16003,1941,2586
16005,23331,39553
16007,2914,3315
16009,3878,4973
16011,15295,19996
16013,4032,13289
16015,3485,4820
16017,18369,27335
16019,37805,53995
16021,4937,6313
16023,1202,1415
16025,507,754
16027,61759,90410
16029,2906,3416
16031,7907,9629
16033,264,311
16035,3453,4419
16037,2089,2739
16039,7246,10205
16041,5845,6664
16043,5548,6719
16045,7951,9958
16047,4659,6050
16049,7826,9602
16051,12099,14173
16053,5734,7812
16055,62837,89467
16057,9472,20570
16059,3592,4738
16061,1489,1870
16063,1469,1940
16065,13559,17112
16067,6265,7993
16069,13738,20967
16071,2148,2451
16073,3819,4742
16075,8862,11293
16077,2116,3074
16079,4216,6049
16081,2858,6347
16083,25897,36501
16085,3947,7063
